Sentence,Triple,Source
"Sheeran, who welcomed his first child with wife Cherry Seaborn last year, also told contestant Katie Rae, who has aa 3-year-old son, how much he misses his own daughter.","Sheeran, spouse, Cherry Seaborn",Ed Sheeran appears on 'The Voice' as mega mentor - CNN
,"Katie Rae, job_title, contestant",
Grande married Dalton Gomez back in May.,"Grande, spouse, Dalton Gomez",
"After two seasons in which he has always appeared to be one step ahead of the guillotine, Joe has married Love (Victoria Pedretti), directs much of his narration at his infant son and speaks (at least in his own head) about becoming a better man for both of them, but seriously, who'd want to watch that?","Joe, spouse, Love",You' season 3 review: Joe finds twisted new wrinkles with Love and marriage in the suburbs - CNN
,"Victoria Pedretti, represent, Love",
"Much of that has to do with Penn Badgley's perfectly pitched portrayal of Joe Goldberg, the tech-savvy stalker whose infatuations burn brightly but seldom end well.","Penn Badgley's, represent, Joe Goldberg",
"David Collado, the Dominican Republic's tourism minister, has tweeted that in September the country enjoyed its biggest visitor numbers ever.","David Collado, job_title, Dominican Republic tourism minister",Pandemic travel news: Asia-Pacific vacations on the horizon | CNN Travel
"The latest DC FanDome event unleashed seismic waves through social media with the first extensive preview of ""The Batman,"" the upcoming movie starring Robert Pattinson."," Robert Pattinson, starred_in, The Batman",Batman and Superman still occupy a unique place as pop culture's most iconic heroes - CNN
" Camp returned under director Joel Schumacher, before Christopher Nolan's trilogy starring Christian Bale."," Joel Schumacher, director_of, Camp",
,"Christian Bale, starred_in, Christopher Nolan's trilogy",
"DC Comics publisher Jim Lee explained the ""new mission"" by stating that it ""better reflects the storylines that we're telling across DC and honors Superman's incredible legacy.""","Jim Lee, job_title, DC Comics Publisher",
"""The national plan is working ... (it) is about opening Australia up and that is because the vaccination rates are climbing so high,"" Prime Minister Scott Morrison told Seven News on Wednesday.","Scott Morrison, job_title, Prime Minister ",Australia officially allows vaccinated residents to travel outside the country | CNN Travel
Federal Health Minister Greg Hunt said the rollout is expected to begin by Nov. 8 once the government receives advice from the country's vaccination technical advisory group.,"Greg Hunt, job_title, Federal Health Minister",
"A third wave of infections fueled by the Delta variant forced lockdowns in Australia's biggest cities, Sydney and Melbourne, and both have been gradually easing restrictions after racing through their vaccination targets.","Melbourne, city_of, Australia",
,"Sydney, city_of, Australia",
"Kim Kardashian West's shapewear and lingerie brand, Skims, has unveiled a capsule collection in collaboration with Italian fashion house Fendi.","Skims, partnered_with, Fendi",https://www.cnn.com/style/article/kim-kardashian-skims-fendi-collaboration/index.html
The idea for a partnership came to Fendi creative director Kim Jones during a meeting with his team in Rome.,"Kim Jones, job_title, Fendi creative director",
Emma Raducanu has been named a Dior ambassador just over a month after winning the women's singles title at the 2021 US Open.,"Emma Raducanu, known_as, Dior ambassador",Emma Raducanu is the new face of Dior - CNN Style
"Ahead of the announcement on Tuesday, Raducanu was spotted at the world premiere of the James Bond film ""No Time to Die"" in September wearing a Grecian style gown designed by Dior's creative director Maria Grazia Chiuri for the Cruise 2022 collection.","Maria Grazia Chiuri, job_title, Dior's creative director ",
"Raducanu shot to fame following her strong showing at Wimbledon this past summer, then stunned the tennis world when she won the US Open as a newcomer, beating out 19-year-old Canadian tennis player Leylah Fernandez in the finals."," Leylah Fernandez, age, 19-year-old",
Other recently named famous ambassadors for the brand include K-pop star Jisoo and actor Yara Shahidi.,"Yara Shahidi, job_title, actor",
,"Yara Shahidi, job_title, brand ambassador",
,"Jisoo, job_title, K-pop star",
,"Jisoo, job_title, brand ambassador",
,"Yara Shahidi, known_as, famous",
,"Jisoo, known_as, famous",
